doc_id,corpus,subcorpus,year,radicado,tipo_accion,decision,magistrado_ponente,sala_seccion,fecha_sentencia,fecha_hechos,departamento_hechos,municipio_hechos,batallon,secciones_identificadas,n_secciones,n_chars,y8_mafapo,y9_cidh,y2_sa,y10_rep,compareciente,rango,icm_v3,deteccion_facial
01807c73506b81282e53…,A-CSJ,CSJ,2013,05001-23-33-000-2013-01022-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],31 de mayo de 2013,10 de junio de 2011,Antioquia,Bello,,CONSIDERACIONES | DECISIÓN,2,9223,0.216,0.242,0.959,0.000,—,—,—,—
036f7d338673e78683ee…,A-CSJ,CSJ,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,DECISIÓN,1,904,0.200,0.247,1.000,0.000,—,—,—,—
0453281fce29cacfd49d…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,HECHOS | CARGOS | CONSIDERACIONES | DECISIÓN,4,17849,0.196,0.247,1.000,0.355,—,—,—,—
04d6e5308972acfd8542…,A-CE,CE,2010,44001-23-31-000-2010-00238-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],7 de septiembre de 2015,6 de julio de 2016,Norte de Santander,San,,CONSIDERACIONES | DECISIÓN,2,15338,0.247,0.285,1.000,0.278,—,—,—,—
04e1eb5aaa561608b95e…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | CONSIDERACIONES | DECISIÓN,3,13202,0.186,0.231,1.000,0.054,—,—,—,—
057f5cc436d1502f742a…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,9714,0.212,0.268,0.883,0.000,—,—,—,—
05d2e3f2271c9000f85d…,A-CE,CE,2020,11001-03-15-000-2020-00437-01,TUTELA,Niega,[extraer de PDF],[extraer de PDF],23 de julio de 2019,28 de agosto de 2014,Huila,Planadas,,HECHOS | CONSIDERACIONES | DECISIÓN,3,15090,0.281,0.318,1.000,0.355,—,—,—,—
05fe0c7e89a387dd400d…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,8775,0.211,0.253,0.620,0.000,—,—,—,—
0835aff2f7b290575f4c…,A-CE,CE,2012,05001-23-31-000-2012-00599-02,Acción de Reparación Directa,Accede,[extraer de PDF],[extraer de PDF],16 de octubre de 2007,12 de octubre de 2017,Antioquia,Montebello,,CONSIDERACIONES | DECISIÓN,2,11027,0.194,0.221,0.813,0.000,—,—,—,—
08e5432af3304b3a3a17…,A-CE,CE,2006,05001-23-31-000-2006-00039-01,Acción de Reparación Directa,Condena,Magistrado,[extraer de PDF],8 de julio de 2009,23 de agosto de 2010,Antioquia,Caicedo,,DECISIÓN,1,2225,0.231,0.288,0.542,0.000,—,—,—,—
0be911634d3b2d720914…,A-CSJ,CSJ,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | CONSIDERACIONES | DECISIÓN,3,15152,0.175,0.227,0.667,0.133,—,—,—,—
0c26b5b6275ecd41519f…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,DECISIÓN,1,481,0.249,0.315,1.000,0.000,—,—,—,—
0c6ebf783e6197586b65…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,9242,0.220,0.269,0.767,0.091,—,—,—,—
0d0427146a475d680786…,A-CSJ,CSJ,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,8831,0.307,0.347,0.871,0.036,—,—,—,—
0d799109865a9a1c946f…,A-CE,CE,2007,05001-23-31-000-2007-00013-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],13 de diciembre de 2005,14 de diciembre de 2007,Antioquia,Santa,,DECISIÓN | CONSIDERACIONES | HECHOS,3,65087,0.219,0.263,0.934,0.122,—,—,—,—
0dbbebfd3378e61da701…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,11431,0.192,0.240,0.840,0.000,—,—,—,—
0ed77f2cfbb0dd802977…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,10099,0.189,0.246,0.956,0.000,—,—,—,—
1017bb4b8803a7bc19c9…,A-CSJ,CSJ,2012,05001-23-31-000-2012-00599-02,Acción de Reparación Directa,Accede,[extraer de PDF],[extraer de PDF],16 de octubre de 2007,12 de octubre de 2017,Antioquia,Montebello,,HECHOS | CONSIDERACIONES | DECISIÓN,3,8345,0.223,0.268,0.852,0.000,—,—,—,—
101c3e12caf10998684a…,A-CE,CE,2009,05001-23-31-000-2009-00233-01,"ACCIÓN

DE REPARACIÓN DIRECTA",Condena,[extraer de PDF],[extraer de PDF],2009,[extraer de PDF],Antioquia,Soacha,de,CONSIDERACIONES | DECISIÓN,2,8638,0.222,0.259,0.916,0.000,—,—,—,—
106207e34d1fde6cc55b…,A-CE,CE,2006,05001-23-31-000-2006-00039-01,Acción de Reparación Directa,Condena,Magistrado,[extraer de PDF],8 de julio de 2009,23 de agosto de 2010,Antioquia,Caicedo,,DECISIÓN,1,4240,0.234,0.274,1.000,0.490,—,—,—,—
11c114614955769118b1…,A-CE,CE,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,9087,0.225,0.266,0.790,0.000,—,—,—,—
128907d4b8ab2daa38d9…,A-CE,CE,2004,05001-23-31-000-2004-01289-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],9 de marzo de 2002,[extraer de PDF],Antioquia,San,,HECHOS | CONSIDERACIONES | DECISIÓN,3,14044,0.214,0.258,0.927,0.000,—,—,—,—
12c68e398fa497e0ea30…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,9917,0.157,0.198,0.825,0.219,—,—,—,—
1416ae13e1f448ff1c4a…,A-CE,CE,2003,20001-23-31-000-2003-01951-01,ACCION DE REPARACION DIRECTA,,[extraer de PDF],[extraer de PDF],1 de febrero de 2003,1 de febrero de 2003,Cesar,La,,DECISIÓN,1,1524,0.195,0.248,0.650,0.354,—,—,—,—
143256801feffea8eacf…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES | DECISIÓN,2,7626,0.285,0.320,1.000,0.132,—,—,—,—
154480cd4a5177fbc95c…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | CONSIDERACIONES | DECISIÓN,3,16476,0.232,0.275,0.883,0.323,—,—,—,—
15a84895577a3f984716…,A-CE,CE,2009,05001-23-31-000-2009-00233-01,"ACCIÓN

DE REPARACIÓN DIRECTA",Condena,[extraer de PDF],[extraer de PDF],2009,[extraer de PDF],Antioquia,Soacha,de,CONSIDERACIONES | DECISIÓN,2,24000,0.170,0.234,1.000,0.399,—,—,—,—
1969b99d5165452c36d6…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | DECISIÓN,2,8952,0.217,0.269,0.927,0.000,—,—,—,—
1b2f8e6c0f9fba534394…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,16000,0.184,0.227,1.000,0.471,—,—,—,—
1cdfc83e3657c1421bd5…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | DECISIÓN,2,1786,0.268,0.315,1.000,0.000,—,—,—,—
1d59753be972090bd0a2…,A-CSJ,CSJ,2018,11001-03-15-000-2018-00348-01,TUTELA,Niega,[extraer de PDF],[extraer de PDF],31 de julio de 2012,28 de agosto de 2014,Huila,Pitalito,,CONSIDERACIONES | DECISIÓN,2,8866,0.301,0.343,0.825,0.036,—,—,—,—
1d827284136d2487d886…,A-CE,CE,2003,20001-23-31-000-2003-01951-01,ACCION DE REPARACION DIRECTA,,[extraer de PDF],[extraer de PDF],1 de febrero de 2003,1 de febrero de 2003,Cesar,La,,DECISIÓN,1,844,0.212,0.277,0.307,0.000,—,—,—,—
1e6c5f6e8510143dc607…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,DECISIÓN,1,3102,0.176,0.237,1.000,0.275,—,—,—,—
2132a193e2be75748017…,A-CSJ,CSJ,2007,05001-23-31-000-2007-00013-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],13 de diciembre de 2005,14 de diciembre de 2007,Antioquia,Santa,,DECISIÓN,1,1009,0.235,0.290,0.650,0.204,—,—,—,—
21649e686b573d7662c1…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | CONSIDERACIONES | DECISIÓN,3,17117,0.262,0.293,0.988,0.145,—,—,—,—
2226d308a75bcc78bec4…,A-CE,CE,2004,05001-23-31-000-2004-01289-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],9 de marzo de 2002,[extraer de PDF],Antioquia,San,,CONSIDERACIONES | DECISIÓN,2,10704,0.191,0.229,1.000,0.037,—,—,—,—
23bbdee45fd67bf8149d…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,9689,0.205,0.255,0.704,0.039,—,—,—,—
254d6cd4409213641878…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,CARGOS | DECISIÓN,2,8638,0.200,0.244,0.890,0.000,—,—,—,—
2556aa061d8aded9dad7…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,16000,0.274,0.312,1.000,0.133,—,—,—,—
26dfc2f5529297e29c7d…,A-CE,CE,2004,05001-23-31-000-2004-01289-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],9 de marzo de 2002,[extraer de PDF],Antioquia,San,,CONSIDERACIONES | DECISIÓN,2,9508,0.196,0.261,1.000,0.156,—,—,—,—
274d29962451441c036e…,A-CSJ,CSJ,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,9111,0.242,0.281,0.779,0.360,—,—,—,—
27ced80839f5d06057ae…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,16000,0.196,0.231,1.000,0.074,—,—,—,—
27d9721f69fcc9c5aae1…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,HECHOS | DECISIÓN,2,30689,0.166,0.231,0.973,0.064,—,—,—,—
2a3b67dd8318e81ac2c4…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,HECHOS | DECISIÓN,2,3040,0.188,0.251,0.797,0.000,—,—,—,—
2b419c8e925543ff79ac…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,HECHOS | CARGOS | CONSIDERACIONES | DECISIÓN,4,14716,0.227,0.287,1.000,0.000,—,—,—,—
2cab90c8736fb4fe2302…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,10240,0.203,0.256,0.937,0.023,—,—,—,—
2d6a4e9ebe0fdc7f468e…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,DECISIÓN,1,3398,0.184,0.214,1.000,0.669,—,—,—,—
2e0feeefc4bc50d2e477…,A-CSJ,CSJ,2012,05001-23-31-000-2012-00599-02,Acción de Reparación Directa,Accede,[extraer de PDF],[extraer de PDF],16 de octubre de 2007,12 de octubre de 2017,Antioquia,Montebello,,HECHOS | DECISIÓN,2,1449,0.193,0.241,0.896,0.000,—,—,—,—
30899dac6eaab5df87fd…,A-CE,CE,2018,11001-03-15-000-2018-00348-01,TUTELA,Niega,[extraer de PDF],[extraer de PDF],31 de julio de 2012,28 de agosto de 2014,Huila,Pitalito,,HECHOS | DECISIÓN,2,10017,0.228,0.270,1.000,0.396,—,—,—,—
3109c1a737befc06c5ef…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,9857,0.210,0.259,0.667,0.000,—,—,—,—
33b2b2c031f6ed6f35d3…,A-CSJ,CSJ,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,9302,0.216,0.264,0.995,0.000,—,—,—,—
3415c8e1439b66204660…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,17375,0.218,0.269,0.843,0.027,—,—,—,—
341a32fb6a6c70b59f37…,A-CE,CE,2013,05001-23-33-000-2013-01022-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],31 de mayo de 2013,10 de junio de 2011,Antioquia,Bello,,CONSIDERACIONES | HECHOS | DECISIÓN,3,21718,0.176,0.231,1.000,0.243,—,—,—,—
350095495340fb12b07c…,A-CSJ,CSJ,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,9318,0.272,0.297,1.000,0.059,—,—,—,—
36383edb1b72a168d2e1…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | CONSIDERACIONES | DECISIÓN,3,9700,0.186,0.236,0.883,0.000,—,—,—,—
36cd99c4ff64b1c3b875…,A-CSJ,CSJ,2014,85001-23-33-000-2014-00006-01,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],15 de diciembre de 2016,9 de febrero de 2012,Casanare,,,CONSIDERACIONES,1,8000,0.214,0.257,1.000,0.000,—,—,—,—
3740f9b9c39523eeb834…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,8813,0.217,0.282,0.839,0.000,—,—,—,—
385d059d4b3909a5c44a…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,9699,0.231,0.279,0.775,0.000,—,—,—,—
3a3a50b4d65142e832cf…,A-CSJ,CSJ,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,HECHOS | DECISIÓN,2,12281,0.164,0.230,0.624,0.205,—,—,—,—
3a6ef04fd3f8e8b5d900…,A-CSJ,CSJ,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,CONSIDERACIONES | DECISIÓN,2,9112,0.178,0.226,1.000,0.071,—,—,—,—
3a767d97c18ee6f954fd…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | HECHOS | DECISIÓN,3,20674,0.188,0.246,0.850,0.223,—,—,—,—
3d645ce0e1168ecb31ac…,A-CE,CE,2012,05001-23-31-000-2012-00599-02,Acción de Reparación Directa,Accede,[extraer de PDF],[extraer de PDF],16 de octubre de 2007,12 de octubre de 2017,Antioquia,Montebello,,CONSIDERACIONES | HECHOS | DECISIÓN,3,24200,0.204,0.230,0.716,0.078,—,—,—,—
3e95682f11cf6ecb4035…,A-CE,CE,2005,05001-23-31-000-2005-05214-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],19 de abril de 2004,19 de abril de 2004,Cesar,Granada,,HECHOS | DECISIÓN,2,16000,0.221,0.254,0.802,0.082,—,—,—,—
3f6c6c737fa1ae5e6304…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,10824,0.207,0.262,1.000,0.053,—,—,—,—
4057d1ad8f86b3cf45f4…,A-CSJ,CSJ,2016,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],2016,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,8751,0.227,0.252,1.000,0.000,—,—,—,—
40bb3c6463aa058307d9…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,CONSIDERACIONES | DECISIÓN,2,9235,0.220,0.255,0.871,0.059,—,—,—,—
41ceffd00ab85e79bd74…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,HECHOS | DECISIÓN,2,15938,0.203,0.253,1.000,0.577,—,—,—,—
424b3b2ff0d91d37da11…,A-CE,CE,2000,05001-23-31-000-2000-03380-01,ACCION DE REPARACION DIRECTA,,[extraer de PDF],[extraer de PDF],11 de septiembre de 2013,22 de noviembre de 2012,Antioquia,,,HECHOS | DECISIÓN,2,16000,0.207,0.247,1.000,0.083,—,—,—,—
42adec3d5f421c720e88…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,24000,0.206,0.245,1.000,0.075,—,—,—,—
44413afc8bd69f07cac4…,A-CSJ,CSJ,2013,05001-23-33-000-2013-01022-01,Acción de Reparación Directa,Condena,[extraer de PDF],[extraer de PDF],31 de mayo de 2013,10 de junio de 2011,Antioquia,Bello,,HECHOS | DECISIÓN,2,1147,0.239,0.280,0.760,0.000,—,—,—,—
456b33c2da9d55d55ffe…,A-CE,CE,2003,20001-23-31-000-2003-01951-01,ACCION DE REPARACION DIRECTA,,[extraer de PDF],[extraer de PDF],1 de febrero de 2003,1 de febrero de 2003,Cesar,La,,CONSIDERACIONES,1,15338,0.225,0.259,1.000,0.156,—,—,—,—
466c0f272f36469e055d…,A-CSJ,CSJ,2015,11001-03-15-000-2015-01676-00,Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],4 de junio de 2015,4 de junio de 2015,ANTIOQUIA,,,HECHOS | CONSIDERACIONES | DECISIÓN,3,16603,0.214,0.239,0.883,0.000,—,—,—,—
46c2cbd912acbbe2ede2…,A-CE,CE,2001,25000-23-26-000-2001-00297-01,ACCION DE REPARACION DIRECTA,,[extraer de PDF],[extraer de PDF],8 de agosto de 2003,13 de julio de 1993,,,,CONSIDERACIONES | DECISIÓN,2,9587,0.225,0.278,1.000,0.024,—,—,—,—
46f73e71f130933a7643…,A-CE,CE,2017,11001-03-15-000-2017-01509-00,TUTELA,,[extraer de PDF],[extraer de PDF],12 de febrero de 2015,12 de febrero de 2015,Antioquia,Medelln,,HECHOS | CONSIDERACIONES | DECISIÓN,3,16384,0.202,0.247,0.883,0.054,—,—,—,—
47c342aab276844a18d7…,A-CE,CE,,[ver metadata_corpus_a.csv],Acción de Reparación Directa,,[extraer de PDF],[extraer de PDF],,[extraer de PDF],,,,CONSIDERACIONES | DECISIÓN,2,8788,0.201,0.252,0.797,0.000,—,—,—,—
